subject,type,search_terms,source
Black Panther,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Avengers: Infinity War,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Incredibles 2,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Jurassic World: Fallen Kingdom,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Aquaman,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Deadpool 2,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Dr. Seuss' The Grinch (2018),movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Mission: Impossible - Fallout,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Ant-Man and the Wasp,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Solo: A Star Wars Story,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Venom (2018),movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Bohemian Rhapsody,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
A Star is Born (2018),movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Ralph Breaks the Internet,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
A Quiet Place,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Spider-Man: Into The Spider-Verse,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Crazy Rich Asians,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Mary Poppins Returns,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Hotel Transylvania 3: Summer Vacation,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Fantastic Beasts: The Crimes of Grindelwald,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Halloween (2018),movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
The Meg,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Ocean's 8,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Ready Player One,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Bumblebee,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Mamma Mia! Here We Go Again,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
The Nun,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Creed II,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Peter Rabbit,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
The Mule,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
The Equalizer 2,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Rampage (2018),movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
A Wrinkle in Time,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Fifty Shades Freed,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Disney's Christopher Robin,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
I Can Only Imagine,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Smallfoot,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Night School (2018),movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Green Book,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
The First Purge,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Game Night,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Book Club,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
The House With A Clock In Its Walls,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Skyscraper,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Insidious: The Last Key,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Instant Family,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Blockers,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Pacific Rim Uprising,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Tomb Raider,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
Maze Runner: The Death Cure,movie,"['torrent','online free streaming']",https://www.boxofficemojo.com/yearly/chart/?view=releasedate&view2=domestic&yr=2018&p=.htm
ONE KISS 	CALVIN HARRIS & DUA LIPA,song,"['torrent','free download']",https://www.officialcharts.com/chart-news/the-official-top-40-biggest-songs-of-2018__22432/
GOD'S PLAN 	DRAKE,song,"['torrent','free download']",https://www.officialcharts.com/chart-news/the-official-top-40-biggest-songs-of-2018__22432/
SHOTGUN 	GEORGE EZRA,song,"['torrent','free download']",https://www.officialcharts.com/chart-news/the-official-top-40-biggest-songs-of-2018__22432/
THIS IS ME 	SETTLE/GREATEST SHOWMAN ENS,song,"['torrent','free download']",https://www.officialcharts.com/chart-news/the-official-top-40-biggest-songs-of-2018__22432/
THESE DAYS 	RUDIMENTAL/GLYNNE/MACKLEMORE,song,"['torrent','free download']",https://www.officialcharts.com/chart-news/the-official-top-40-biggest-songs-of-2018__22432/
PERFECT 	ED SHEERAN,song,"['torrent','free download']",https://www.officialcharts.com/chart-news/the-official-top-40-biggest-songs-of-2018__22432/
NICE FOR WHAT 	DRAKE,song,"['torrent','free download']",https://www.officialcharts.com/chart-news/the-official-top-40-biggest-songs-of-2018__22432/
PARADISE 	GEORGE EZRA,song,"['torrent','free download']",https://www.officialcharts.com/chart-news/the-official-top-40-biggest-songs-of-2018__22432/
NO TEARS LEFT TO CRY 	ARIANA GRANDE,song,"['torrent','free download']",https://www.officialcharts.com/chart-news/the-official-top-40-biggest-songs-of-2018__22432/
FEEL IT STILL 	PORTUGAL THE MAN,song,"['torrent','free download']",https://www.officialcharts.com/chart-news/the-official-top-40-biggest-songs-of-2018__22432/
Super Smash Bros. Ultimate,game,"['torrent','cracked download']",https://www.dualshockers.com/best-selling-games-2018-amazon/
Red Dead Redemption 2,game,"['torrent','cracked download']",https://www.dualshockers.com/best-selling-games-2018-amazon/
Super Mario Party,game,"['torrent','cracked download']",https://www.dualshockers.com/best-selling-games-2018-amazon/
Marvel's Spider-Man,game,"['torrent','cracked download']",https://www.dualshockers.com/best-selling-games-2018-amazon/
Mario Kart 8 Deluxe,game,"['torrent','cracked download']",https://www.dualshockers.com/best-selling-games-2018-amazon/
Super Mario Odyssey,game,"['torrent','cracked download']",https://www.dualshockers.com/best-selling-games-2018-amazon/
"Pokemon: Let's Go, Pikachu!",game,"['torrent','cracked download']",https://www.dualshockers.com/best-selling-games-2018-amazon/
Call of Duty: Black Ops 4,game,"['torrent','cracked download']",https://www.dualshockers.com/best-selling-games-2018-amazon/
God of War,game,"['torrent','cracked download']",https://www.dualshockers.com/best-selling-games-2018-amazon/
The Legend of Zelda: Breath of the Wild,game,"['torrent','cracked download']",https://www.dualshockers.com/best-selling-games-2018-amazon/
TurboTax Deluxe + State 2018 Tax Software,software,"['torrent','cracked download']",https://www.amazon.com/Best-Sellers-Software-Downloads/zgbs/software/1233514011
H&R Block Tax Software Deluxe + State 2018,software,"['torrent','cracked download']",https://www.amazon.com/Best-Sellers-Software-Downloads/zgbs/software/1233514011
Microsoft Office Home and Business 2019,software,"['torrent','cracked download']",https://www.amazon.com/Best-Sellers-Software-Downloads/zgbs/software/1233514011
Norton Security Premium,software,"['torrent','cracked download']",https://www.amazon.com/Best-Sellers-Software-Downloads/zgbs/software/1233514011
Microsoft Windows 10 Pro,software,"['torrent','cracked download']",https://www.amazon.com/Best-Sellers-Software-Downloads/zgbs/software/1233514011
McAfee Total Protection,software,"['torrent','cracked download']",https://www.amazon.com/Best-Sellers-Software-Downloads/zgbs/software/1233514011
QuickBooks Desktop for Mac 2019,software,"['torrent','cracked download']",https://www.amazon.com/Best-Sellers-Software-Downloads/zgbs/software/1233514011
Kaspersky Total Security,software,"['torrent','cracked download']",https://www.amazon.com/Best-Sellers-Software-Downloads/zgbs/software/1233514011
Adobe Photoshop 2019,software,"['torrent','cracked download']",https://www.amazon.com/Best-Sellers-Software-Downloads/zgbs/software/1233514011
Adobe Acrobat Pro 2017,software,"['torrent','cracked download']",https://www.amazon.com/Best-Sellers-Software-Downloads/zgbs/software/1233514011
